Programme Name,University Name,Location,Programme Code,Cut-off 2017,Cut-off 2018,Cut-off 2019,Cut-off 2020,Cut-off 2021,Cut-off 2022,Cut-off 2023
BACHELOR OF EDUCATION (SCIENCE),MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,Meru County,1240137,25.658,30.262,33.553,31.279,29.519,30.648,30.588
BACHELOR OF EDUCATION (SCIENCE),KARATINA UNIVERSITY,Nyeri County,1244137,29.145,31.68,33.863,33.0,23.43,30.097,30.945
BACHELOR OF EDUCATION (SCIENCE),MOI UNIVERSITY,Uasin Gishu County,1253137,32.477,34.564,36.325,35.361,33.221,35.434,34.603
BACHELOR OF EDUCATION (SCIENCE),UNIVERSITY OF NAIROBI,Nairobi County,1263137,33.739,35.354,37.409,37.062,37.343,37.073,36.127
BACHELOR OF EDUCATION (SCIENCE),KABARAK UNIVERSITY,Nakuru County,1061137,29.702,32.102,34.757,34.753,33.127,22.358,23.662
BACHELOR OF EDUCATION (SCIENCE),KENYA METHODIST UNIVERSITY,Unknown,1077137,,22.873,30.549,31.76,31.05,22.358,24.256
BACHELOR OF EDUCATION (SCIENCE),PRESBYTERIAN UNIVERSITY OF EAST AFRICA,Unknown,1196137,,24.619,24.549,27.852,22.636,22.358,21.858
BACHELOR OF EDUCATION (SCIENCE),MOUNT KENYA UNIVERSITY,Kiambu County,1279137,29.302,32.332,34.755,32.953,31.94,22.358,22.824
BACHELOR OF EDUCATION (SCIENCE),KAIMOSI FRIENDS UNIVERSITY,Unknown,1470137,,23.737,28.957,30.347,28.666,29.438,29.006
BACHELOR OF EDUCATION (SCIENCE),TANGAZA UNIVERSITY COLLEGE,Unknown,1475137,,25.057,24.978,27.326,25.816,22.358,21.858
BACHELOR OF EDUCATION (SCIENCE),CATHOLIC UNIVERSITY OF EASTERN  AFRICA,Nairobi County,1480137,24.866,28.235,31.322,31.537,25.245,22.358,23.601
"BACHELOR OF EDUCATION (SCIENCE, WITH IT)",TOM MBOYA UNIVERSITY,Homa Bay County,1515137,24.378,25.668,29.328,29.609,22.636,23.928,27.083
BACHELOR OF EDUCATION (SCIENCE),"UNIVERSITY OF EASTERN AFRICA, BARATON",Unknown,1181137,,25.63,30.951,32.036,25.522,22.358,23.598
BACHELOR OF EDUCATION (SCIENCE),MURANG'A UNIVERSITY OF TECHNOLOGY,Murang’a County,1246137,27.599,29.14,32.777,31.547,24.021,31.162,31.895
BACHELOR OF EDUCATION (SCIENCE),LUKENYA UNIVERSITY,Unknown,1495137,,25.092,25.122,27.25,22.636,22.358,21.858
BACHELOR OF EDUCATION (SCIENCE),ALUPE UNIVERSITY,Unknown,1600137,26.221,24.132,26.677,29.062,24.526,24.572,27.354
BACHELOR OF EDUCATION (SCIENCE),TAITA TAVETA UNIVERSITY,Unknown,1091137,,24.225,28.137,29.52,22.636,23.764,23.842
BACHELOR OF EDUCATION (SCIENCE),MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,Meru County,1240499,,25.661,27.702,28.668,31.224,,
BACHELOR OF EDUCATION (SCIENCE),THARAKA UNIVERSITY,Tharaka-Nithi County,1685137,,25.683,27.878,28.747,22.636,23.992,23.361
